premise	hypothesis	label	case
A fortnight has passed since his flight , during which he has not been seen and nothing has been heard of him .	nothing has been heard of him	entailment	c: a S clause
Of course , so far as his concealment goes there is no difficulty at all .	there is difficulty at all	contradiction	a: within scope.
Of course , so far as his concealment goes there is no difficulty at all .	Of course , so far as his concealment goes there is difficulty at all .	contradiction	b: cue-removed
Of course , so far as his concealment goes there is no difficulty at all .	his concealment goes	entailment	c: a S clause
There are one maid , an old manservant , the sister , and the brother , the latter not a very strong man .	There are one maid , an old manservant , the sister , and the brother , the latter a very strong man .	contradiction	b: cue-removed
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	Stapleton would hear of it	contradiction	a: within scope.
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would hear of it .	contradiction	b: cue-removed
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	Both Sir Henry and I were concerned at their situation	entailment	c: a S clause
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	it was suggested that Perkins the groom should go over to sleep there , but Stapleton would hear of it	contradiction	b: cue-removed
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	it was suggested that Perkins the groom should go over to sleep there	entailment	c: a S clause
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	Perkins the groom should go over to sleep there	entailment	c: a S clause
Both Sir Henry and I were concerned at their situation , and it was suggested that Perkins the groom should go over to sleep there , but Stapleton would not hear of it .	the groom should go over to sleep there	entailment	c: a S clause
It is not to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	It is to be wondered at	contradiction	a: within scope.
It is not to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	It is to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	contradiction	b: cue-removed
It is not to be wondered at , for time hangs heavily in this lonely spot to an active man like him , and she is a very fascinating and beautiful woman .	she is a very fascinating and beautiful woman	entailment	c: a S clause
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	he would express his whole opinion out of consideration for the feelings of the baronet	contradiction	a: within scope.
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would express his whole opinion out of consideration for the feelings of the baronet .	contradiction	b: cue-removed
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	Stapleton was guarded in his replies	entailment	c: a S clause
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	it was easy to see that he said less than he might , and that he would express his whole opinion out of consideration for the feelings of the baronet	contradiction	b: cue-removed
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	he said less than he might	entailment	c: a S clause
Stapleton was guarded in his replies , but it was easy to see that he said less than he might , and that he would not express his whole opinion out of consideration for the feelings of the baronet .	he might	entailment	c: a S clause
From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was not mutual .	the feeling was mutual	contradiction	a: within scope.
From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was not mutual .	From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was mutual .	contradiction	b: cue-removed
From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was not mutual .	From the first moment that he saw her he appeared to be strongly attracted by her	entailment	c: a S clause
From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was not mutual .	he saw her	entailment	c: a S clause
From the first moment that he saw her he appeared to be strongly attracted by her , and I am much mistaken if the feeling was not mutual .	I am much mistaken if the feeling was mutual	contradiction	b: cue-removed
He referred to her again and again on our walk home , and since then hardly a day has passed that we have not seen something of the brother and sister .	we have seen something of the brother and sister	contradiction	a: within scope.
He referred to her again and again on our walk home , and since then hardly a day has passed that we have not seen something of the brother and sister .	He referred to her again and again on our walk home , and since then hardly a day has passed that we have seen something of the brother and sister .	contradiction	b: cue-removed
He referred to her again and again on our walk home , and since then hardly a day has passed that we have not seen something of the brother and sister .	He referred to her again and again on our walk home	entailment	c: a S clause
He referred to her again and again on our walk home , and since then hardly a day has passed that we have not seen something of the brother and sister .	since then hardly a day has passed that we have seen something of the brother and sister	contradiction	b: cue-removed
Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	he does wish their intimacy to ripen into love	contradiction	a: within scope.
Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	Yet I am certain that he does wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete a tete .	contradiction	b: cue-removed
Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	Yet I am certain that he does wish their intimacy to ripen into love	contradiction	b: cue-removed
Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	I am certain that he does wish their intimacy to ripen into love	contradiction	b: cue-removed
Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	I have several times observed that he has taken pains to prevent them from being tete a tete	entailment	c: a S clause
Yet I am certain that he does not wish their intimacy to ripen into love , and I have several times observed that he has taken pains to prevent them from being tete-a-tete .	he has taken pains to prevent them from being tete a tete	entailment	c: a S clause
By the way , your instructions to me never to allow Sir Henry to go out alone will become very much more onerous if a love affair were to be added to our other difficulties .	By the way , your instructions to me to allow Sir Henry to go out alone will become very much more onerous if a love affair were to be added to our other difficulties .	contradiction	b: cue-removed
By the way , your instructions to me never to allow Sir Henry to go out alone will become very much more onerous if a love affair were to be added to our other difficulties .	a love affair were to be added to our other difficulties	entailment	c: a S clause
He fights for the mere pleasure of fighting and is equally ready to take up either side of a question , so that it is no wonder that he has found it a costly amusement .	it is wonder that he has found it a costly amusement	contradiction	a: within scope.
He fights for the mere pleasure of fighting and is equally ready to take up either side of a question , so that it is no wonder that he has found it a costly amusement .	he has found it a costly amusement	contradiction	a: within scope.
He fights for the mere pleasure of fighting and is equally ready to take up either side of a question , so that it is no wonder that he has found it a costly amusement .	it a costly amusement	contradiction	a: within scope.
He fights for the mere pleasure of fighting and is equally ready to take up either side of a question , so that it is no wonder that he has found it a costly amusement .	He fights for the mere pleasure of fighting and is equally ready to take up either side of a question , so that it is wonder that he has found it a costly amusement .	contradiction	b: cue-removed
I have already explained that the testimony of the postmaster shows that the test was worthless and that we have no proof one way or the other .	we have proof one way or the other	contradiction	a: within scope.
I have already explained that the testimony of the postmaster shows that the test was worthless and that we have no proof one way or the other .	I have already explained that the testimony of the postmaster shows that the test was worthless and that we have proof one way or the other .	contradiction	b: cue-removed
I have already explained that the testimony of the postmaster shows that the test was worthless and that we have no proof one way or the other .	the testimony of the postmaster shows that the test was worthless and that we have proof one way or the other	contradiction	b: cue-removed
I have already explained that the testimony of the postmaster shows that the test was worthless and that we have no proof one way or the other .	the test was worthless	entailment	c: a S clause
""" I could not quite understand the object of your questions this morning , Sir Henry , "" said he ."	I could quite understand the object of your questions this morning	contradiction	a: within scope.
""" I could not quite understand the object of your questions this morning , Sir Henry , "" said he ."	"` ` I could quite understand the object of your questions this morning , Sir Henry , "" said he ."	contradiction	b: cue-removed
""" I could not quite understand the object of your questions this morning , Sir Henry , "" said he ."	` I could quite understand the object of your questions this morning , Sir Henry	contradiction	b: cue-removed
""" I could not quite understand the object of your questions this morning , Sir Henry , "" said he ."	I could quite understand the object of your questions this morning , Sir Henry	contradiction	b: cue-removed
""" I trust that they do not mean that I have done anything to forfeit your confidence ? """	they do mean that I have done anything to forfeit your confidence	contradiction	a: within scope.
""" I trust that they do not mean that I have done anything to forfeit your confidence ? """	I have done anything to forfeit your confidence	contradiction	a: within scope.
""" I trust that they do not mean that I have done anything to forfeit your confidence ? """	"` ` I trust that they do mean that I have done anything to forfeit your confidence ? """	contradiction	b: cue-removed
You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	I am a very sound sleeper	contradiction	a: within scope.
You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	You are aware that I am a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	contradiction	b: cue-removed
You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	You are aware that I am a very sound sleeper	contradiction	b: cue-removed
You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	since I have been on guard in this house my slumbers have been lighter than ever	entailment	c: a S clause
You are aware that I am not a very sound sleeper , and since I have been on guard in this house my slumbers have been lighter than ever .	I have been on guard in this house	entailment	c: a S clause
He was in shirt and trousers , with no covering to his feet .	He was in shirt and trousers , with covering to his feet .	contradiction	b: cue-removed
Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could not tell whence the sound came .	I could tell whence the sound came	contradiction	a: within scope.
Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could not tell whence the sound came .	the sound came	contradiction	a: within scope.
Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could not tell whence the sound came .	Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could tell whence the sound came .	contradiction	b: cue-removed
Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could not tell whence the sound came .	Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock	entailment	c: a S clause
Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock , but I could not tell whence the sound came .	I had fallen into a light sleep	entailment	c: a S clause
What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	What it all means I can guess	contradiction	a: within scope.
What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	What it all means I can guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	contradiction	b: cue-removed
What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	it all means I can not guess	entailment	c: a S clause
What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	I can not guess	entailment	c: a S clause
What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of	entailment	c: a S clause
What it all means I can not guess , but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of .	sooner or later we shall get to the bottom of	entailment	c: a S clause
I do not trouble you with my theories , for you asked me to furnish you only with facts .	I do trouble you with my theories	contradiction	a: within scope.
I do not trouble you with my theories , for you asked me to furnish you only with facts .	I do trouble you with my theories , for you asked me to furnish you only with facts .	contradiction	b: cue-removed
I do not trouble you with my theories , for you asked me to furnish you only with facts .	you asked me to furnish you only with facts	entailment	c: a S clause
I do not trouble you with my theories , for you asked me to furnish you only with facts .	me to furnish you only with facts	entailment	c: a S clause
I will not speak about it just now , but it should make my next report interesting reading .	I will speak about it just now	contradiction	a: within scope.
I will not speak about it just now , but it should make my next report interesting reading .	I will speak about it just now , but it should make my next report interesting reading .	contradiction	b: cue-removed
I will not speak about it just now , but it should make my next report interesting reading .	it should make my next report interesting reading	entailment	c: a S clause
Things have taken a turn which I could not have anticipated .	I could have anticipated	contradiction	a: within scope.
Things have taken a turn which I could not have anticipated .	Things have taken a turn which I could have anticipated .	contradiction	b: cue-removed
Things have taken a turn which I could not have anticipated .	I could not have anticipated	entailment	c: a S clause
There have been decorators and furnishers up from Plymouth , and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family .	There have been decorators and furnishers up from Plymouth , and it is evident that our friend has large ideas and means to spare pains or expense to restore the grandeur of his family .	contradiction	b: cue-removed
There have been decorators and furnishers up from Plymouth , and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family .	There have been decorators and furnishers up from Plymouth	entailment	c: a S clause
There have been decorators and furnishers up from Plymouth , and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family .	it is evident that our friend has large ideas and means to spare pains or expense to restore the grandeur of his family	contradiction	b: cue-removed
There have been decorators and furnishers up from Plymouth , and it is evident that our friend has large ideas and means to spare no pains or expense to restore the grandeur of his family .	our friend has large ideas and means to spare pains or expense to restore the grandeur of his family	contradiction	b: cue-removed
Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	this will be wanting if the lady is willing	contradiction	a: within scope.
Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	the lady is willing	contradiction	a: within scope.
Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	Between ourselves there are pretty clear signs that this will be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	contradiction	b: cue-removed
Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton	entailment	c: a S clause
Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton	entailment	c: a S clause
Between ourselves there are pretty clear signs that this will not be wanting if the lady is willing , for I have seldom seen a man more infatuated with a woman than he is with our beautiful neighbour , Miss Stapleton .	he is with our beautiful neighbour , Miss Stapleton	entailment	c: a S clause
And yet the course of true love does not run quite as smoothly as one would under the circumstances expect .	the course of true love does run quite as smoothly as one would under the circumstances expect	contradiction	a: within scope.
And yet the course of true love does not run quite as smoothly as one would under the circumstances expect .	one would under the circumstances expect	contradiction	a: within scope.
And yet the course of true love does not run quite as smoothly as one would under the circumstances expect .	And yet the course of true love does run quite as smoothly as one would under the circumstances expect .	contradiction	b: cue-removed
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	I should leave you	contradiction	a: within scope.
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should leave you , and especially that you should go alone upon the moor . """	contradiction	b: cue-removed
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	I am sorry to intrude	entailment	c: a S clause
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	you heard how earnestly Holmes insisted that I should leave you , and especially that you should go alone upon the moor	contradiction	b: cue-removed
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	Holmes insisted that I should leave you , and especially that you should go alone upon the moor	contradiction	b: cue-removed
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	you should not go alone upon the moor	entailment	c: a S clause
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	you should go alone upon the moor	contradiction	a: within scope.
"I am sorry to intrude , but you heard how earnestly Holmes insisted that I should not leave you , and especially that you should not go alone upon the moor . """	I should not leave you	entailment	c: a S clause
""" My dear fellow , "" said he , "" Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor ."	Holmes did foresee some things which have happened since I have been on the moor	contradiction	a: within scope.
""" My dear fellow , "" said he , "" Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor ."	I have been on the moor	contradiction	a: within scope.
""" My dear fellow , "" said he , "" Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor ."	"` ` My dear fellow , "" said he , ` ` Holmes , with all his wisdom , did foresee some things which have happened since I have been on the moor ."	contradiction	b: cue-removed
""" My dear fellow , "" said he , "" Holmes , with all his wisdom , did not foresee some things which have happened since I have been on the moor ."	he , ` ` Holmes , with all his wisdom , did foresee some things which have happened since I have been on the moor	contradiction	b: cue-removed
It might not even now be too late to overtake him , so I set off at once in the direction of Merripit House .	It might even now be too late to overtake him	contradiction	a: within scope.
It might not even now be too late to overtake him , so I set off at once in the direction of Merripit House .	It might even now be too late to overtake him , so I set off at once in the direction of Merripit House .	contradiction	b: cue-removed
It might not even now be too late to overtake him , so I set off at once in the direction of Merripit House .	I set off at once in the direction of Merripit House	entailment	c: a S clause
To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was never for an instant to let him out of my sight .	To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was for an instant to let him out of my sight .	contradiction	b: cue-removed
To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was never for an instant to let him out of my sight .	To follow them and break into their intimate conversation seemed to be an outrage	entailment	c: a S clause
To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was never for an instant to let him out of my sight .	yet my clear duty was for an instant to let him out of my sight	contradiction	b: cue-removed
To follow them and break into their intimate conversation seemed to be an outrage , and yet my clear duty was never for an instant to let him out of my sight .	my clear duty was for an instant to let him out of my sight	contradiction	b: cue-removed
Still , I could see no better course than to observe him from the hill , and to clear my conscience by confessing to him afterwards what I had done .	I could see better course than to observe him from the hill	contradiction	a: within scope.
Still , I could see no better course than to observe him from the hill , and to clear my conscience by confessing to him afterwards what I had done .	Still , I could see better course than to observe him from the hill , and to clear my conscience by confessing to him afterwards what I had done .	contradiction	b: cue-removed
Still , I could see no better course than to observe him from the hill , and to clear my conscience by confessing to him afterwards what I had done .	I had done	entailment	c: a S clause
Our friend , Sir Henry , and the lady had halted on the path and were standing deeply absorbed in their conversation , when I was suddenly aware that I was not the only witness of their interview .	I was the only witness of their interview	contradiction	a: within scope.
Our friend , Sir Henry , and the lady had halted on the path and were standing deeply absorbed in their conversation , when I was suddenly aware that I was not the only witness of their interview .	Our friend , Sir Henry , and the lady had halted on the path and were standing deeply absorbed in their conversation , when I was suddenly aware that I was the only witness of their interview .	contradiction	b: cue-removed
Our friend , Sir Henry , and the lady had halted on the path and were standing deeply absorbed in their conversation , when I was suddenly aware that I was not the only witness of their interview .	I was suddenly aware that I was the only witness of their interview	contradiction	b: cue-removed
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	What the scene meant I could imagine	contradiction	a: within scope.
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	What the scene meant I could imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	contradiction	b: cue-removed
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	the scene meant I could not imagine	entailment	c: a S clause
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	I could not imagine	entailment	c: a S clause
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them	entailment	c: a S clause
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them	entailment	c: a S clause
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	offered explanations , which became more angry as the other refused to accept them	entailment	c: a S clause
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	became more angry as the other refused to accept them	entailment	c: a S clause
What the scene meant I could not imagine , but it seemed to me that Stapleton was abusing Sir Henry , who offered explanations , which became more angry as the other refused to accept them .	the other refused to accept them	entailment	c: a S clause
What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	What all this meant I could imagine	contradiction	a: within scope.
What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	What all this meant I could imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	contradiction	b: cue-removed
What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	all this meant I could not imagine	entailment	c: a S clause
What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	I could not imagine	entailment	c: a S clause
What all this meant I could not imagine , but I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge .	I was deeply ashamed to have witnessed so intimate a scene without my friend 's knowledge	entailment	c: a S clause
""" You do not mean to say that you came after me in spite of all ? """	You do mean to say that you came after me in spite of all	contradiction	a: within scope.
""" You do not mean to say that you came after me in spite of all ? """	you came after me in spite of all	contradiction	a: within scope.
""" You do not mean to say that you came after me in spite of all ? """	"` ` You do mean to say that you came after me in spite of all ? """	contradiction	b: cue-removed
""" I can not say that he ever did . """	I can say that he did	contradiction	a: within scope.
""" I can not say that he ever did . """	he did	contradiction	a: within scope.
""" I can not say that he ever did . """	"` ` I can say that he did . """	contradiction	b: cue-removed
""" He can not object to my worldly position , so it must be myself that he has this down on ."	He can object to my worldly position	contradiction	a: within scope.
""" He can not object to my worldly position , so it must be myself that he has this down on ."	` ` He can object to my worldly position , so it must be myself that he has this down on .	contradiction	b: cue-removed
""" He can not object to my worldly position , so it must be myself that he has this down on ."	` He can object to my worldly position	contradiction	b: cue-removed
""" He can not object to my worldly position , so it must be myself that he has this down on ."	it must be myself that he has this down on	entailment	c: a S clause
""" He can not object to my worldly position , so it must be myself that he has this down on ."	he has this down on	entailment	c: a S clause
I never hurt man or woman in my life that I know of .	I hurt man or woman in my life	contradiction	a: within scope.
I never hurt man or woman in my life that I know of .	I hurt man or woman in my life that I know of .	contradiction	b: cue-removed
I never hurt man or woman in my life that I know of .	I know of	entailment	c: a S clause
"And yet he would not so much as let me touch the tips of her fingers . """	he would so much as let me touch the tips of her fingers	contradiction	a: within scope.
"And yet he would not so much as let me touch the tips of her fingers . """	me touch the tips of her fingers	contradiction	a: within scope.
"And yet he would not so much as let me touch the tips of her fingers . """	"And yet he would so much as let me touch the tips of her fingers . """	contradiction	b: cue-removed
"And yet he would not so much as let me touch the tips of her fingers . """	let me touch the tips of her fingers	contradiction	a: within scope.
But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	he has let us get together	contradiction	a: within scope.
But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	us get together	contradiction	a: within scope.
But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	But he has let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	contradiction	b: cue-removed
But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	it was only today for the first time that I saw a chance of having a few words with her alone	entailment	c: a S clause
But he has never let us get together and it was only today for the first time that I saw a chance of having a few words with her alone .	I saw a chance of having a few words with her alone	entailment	c: a S clause
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	it was love that she would talk about	contradiction	a: within scope.
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	she would talk about	contradiction	a: within scope.
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	She was glad to meet me , but when she did it was love that she would talk about , and she would have let me talk about it either if she could have stopped it .	contradiction	b: cue-removed
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	She was glad to meet me	entailment	c: a S clause
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	when she did it was love that she would talk about , and she would have let me talk about it either if she could have stopped it	contradiction	b: cue-removed
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	she would not have let me talk about it either if she could have stopped it	entailment	c: a S clause
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it either if she could have stopped it	entailment	c: a S clause
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	she could have stopped it	entailment	c: a S clause
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	she would have let me talk about it if she could have stopped it	contradiction	a: within scope.
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it	contradiction	a: within scope.
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	She was glad to meet me , but when she did it was love that she would talk about , and she would have let me talk about it if she could have stopped it .	contradiction	b: cue-removed
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	when she did it was love that she would talk about , and she would have let me talk about it if she could have stopped it	contradiction	b: cue-removed
She was glad to meet me , but when she did it was not love that she would talk about , and she would not have let me talk about it either if she could have stopped it .	me talk about it if she could have stopped it	contradiction	a: within scope.
She kept coming back to it that this was a place of danger , and that she would never be happy until I had left it .	she would be happy until I had left it	contradiction	a: within scope.
She kept coming back to it that this was a place of danger , and that she would never be happy until I had left it .	I had left it	contradiction	a: within scope.
She kept coming back to it that this was a place of danger , and that she would never be happy until I had left it .	She kept coming back to it that this was a place of danger , and that she would be happy until I had left it .	contradiction	b: cue-removed
She kept coming back to it that this was a place of danger , and that she would never be happy until I had left it .	this was a place of danger	entailment	c: a S clause
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	I was in hurry to leave it	contradiction	a: within scope.
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	I told her that since I had seen her I was in hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	contradiction	b: cue-removed
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	I had seen her I was in hurry to leave it	contradiction	b: cue-removed
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	if she really wanted me to go , the only way to work it was for her to arrange to go with me	entailment	c: a S clause
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	she really wanted me to go	entailment	c: a S clause
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	me to go	entailment	c: a S clause
I told her that since I had seen her I was in no hurry to leave it , and that if she really wanted me to go , the only way to work it was for her to arrange to go with me .	her to arrange to go with me	entailment	c: a S clause
If he had not been her brother I should have known better how to answer him .	he had been her brother	contradiction	a: within scope.
If he had not been her brother I should have known better how to answer him .	If he had been her brother I should have known better how to answer him .	contradiction	b: cue-removed
As it was I told him that my feelings towards his sister were such as I was not ashamed of , and that I hoped that she might honour me by becoming my wife .	I was ashamed of	contradiction	a: within scope.
