	premise	hypothesis	labels	preds	label	case
884	I do not want you to commit yourself too far unless you are sure . "	I do want you to commit yourself too far unless you are sure . "	2	2	contradiction	b: cue-removed
896	I do not want you to commit yourself too far unless you are sure . "	you to commit yourself too far unless you are sure	2	2	contradiction	a: within scope.
900	" Do not blame me . "	` ` Do blame me . "	2	2	contradiction	b: cue-removed
904	" Let us say no more about it . "	us say more about it	2	2	contradiction	a: within scope.
908	" Let us say no more about it . "	` ` Let us say more about it . "	2	2	contradiction	b: cue-removed
912	" I did not say so , Mr. Holmes ; I did not say so .	I did say so	2	2	contradiction	a: within scope.
916	" I did not say so , Mr. Holmes ; I did not say so .	` ` I did say so , Mr. Holmes ; I did say so .	2	2	contradiction	b: cue-removed
920	" I did not say so , Mr. Holmes ; I did not say so .	` I did say so , Mr. Holmes	2	2	contradiction	b: cue-removed
924	" I can not make the man out .	I can make the man out	2	2	contradiction	a: within scope.
928	" I can not make the man out .	` ` I can make the man out .	2	2	contradiction	b: cue-removed
940	But there 's something in Inspector Baynes which I can not quite understand . "	I can quite understand	2	2	contradiction	a: within scope.
944	But there 's something in Inspector Baynes which I can not quite understand . "	But there 's something in Inspector Baynes which I can quite understand . "	2	2	contradiction	b: cue-removed
952	But the attempt was a dangerous one , and if Garcia did not return by a certain hour it was probable that his own life had been sacrificed .	Garcia did return by a certain hour	2	2	contradiction	a: within scope.
976	I wondered , as I always did , how it had not been obvious to me before .	I wondered , as I always did , how it had been obvious to me before .	2	2	contradiction	b: cue-removed
988	" We can imagine that in the confusion of flight something precious , something which he could not bear to part with , had been left behind .	he could bear to part with	2	2	contradiction	a: within scope.
1000	There are no better instruments than discharged servants with a grievance , and I was lucky enough to find one .	There are better instruments than discharged servants with a grievance	2	2	contradiction	a: within scope.
1004	There are no better instruments than discharged servants with a grievance , and I was lucky enough to find one .	There are better instruments than discharged servants with a grievance , and I was lucky eugh to find one .	2	2	contradiction	b: cue-removed
1012	I call it luck , but it would not have come my way had I not been looking out for it .	it would have come my way had I been looking out for it	2	2	contradiction	b: cue-removed
1016	I call it luck , but it would not have come my way had I not been looking out for it .	I call it luck , but it would have come my way had I been looking out for it .	2	2	contradiction	b: cue-removed
1028	I do not pretend to understand it all yet , but very curious people anyway .	I do pretend to understand it all yet	2	2	contradiction	a: within scope.
1032	I do not pretend to understand it all yet , but very curious people anyway .	I do pretend to understand it all yet , but very curious people anyway .	2	2	contradiction	b: cue-removed
1036	There 's no link between the two save for Henderson 's own servant , who serves the family 's meals .	There 's link between the two save for Henderson 's own servant , who serves the family 's meals	2	2	contradiction	a: within scope.
1040	There 's no link between the two save for Henderson 's own servant , who serves the family 's meals .	There 's link between the two save for Henderson 's own servant , who serves the family 's meals .	2	2	contradiction	b: cue-removed
1052	Henderson never by any chance walks alone .	Henderson by some chance walks alone	2	2	contradiction	a: within scope.
1056	Henderson never by any chance walks alone .	Henderson by some chance walks alone .	2	2	contradiction	b: cue-removed
1068	Miss Burnet has not been seen by any human eye since the night of the murder .	Miss Burnet has been seen by some human eye since the night of the murder	2	2	contradiction	a: within scope.
1072	Miss Burnet has not been seen by any human eye since the night of the murder .	Miss Burnet has been seen by some human eye since the night of the murder .	2	2	contradiction	b: cue-removed
1084	We can not let such a situation continue .	We can let such a situation continue	2	2	contradiction	a: within scope.
1088	We can not let such a situation continue .	We can let such a situation continue .	2	2	contradiction	b: cue-removed
1100	We can not let such a situation continue .	such a situation continue	2	2	contradiction	a: within scope.
1104	It was not , I must confess , a very alluring prospect .	It was a very alluring prospect	2	2	contradiction	a: within scope.
1108	It was not , I must confess , a very alluring prospect .	It was , I must confess , a very alluring prospect .	2	2	contradiction	b: cue-removed
1116	But it was not destined that our investigation should have so adventurous an ending .	it was destined that our investigation should have so adventurous an ending	2	2	contradiction	a: within scope.
1124	But it was not destined that our investigation should have so adventurous an ending .	But it was destined that our investigation should have so adventurous an ending .	2	2	contradiction	b: cue-removed
1128	I sha not forget the face at the carriage window as I led her away .	I sha forget the face at the carriage window as I led her away	2	2	contradiction	a: within scope.
1132	I sha not forget the face at the carriage window as I led her away .	I sha forget the face at the carriage window as I led her away .	2	2	contradiction	b: cue-removed
1148	" I was sure Henderson , as he calls himself , felt that he was suspected , and that he would lie low and make no move so long as he thought he was in any danger .	he would make move so long as he thought he was in some danger	2	2	contradiction	a: within scope.
1180	We can not arrest without her evidence , that is clear , so the sooner we get a statement the better . "	We can arrest without her evidence	2	2	contradiction	a: within scope.
1184	We can not arrest without her evidence , that is clear , so the sooner we get a statement the better . "	We can arrest without her evidence , that is clear , so the sooner we get a statement the better . "	2	2	contradiction	b: cue-removed
1188	We can not arrest without her evidence , that is clear , so the sooner we get a statement the better . "	We can arrest without her evidence , that is clear	2	2	contradiction	b: cue-removed
1196	" I join in it because there is no other way in the world by which justice can be gained .	there is other way in the world by which justice can be gained	2	2	contradiction	a: within scope.
1204	" I join in it because there is no other way in the world by which justice can be gained .	` ` I join in it because there is other way in the world by which justice can be gained .	2	2	contradiction	b: cue-removed
1208	To us there is no fiend in hell like Juan Murillo , and no peace in life while his victims still cry for vengeance . "	there is fiend in hell like Juan Murillo	2	2	contradiction	a: within scope.
1212	To us there is no fiend in hell like Juan Murillo , and no peace in life while his victims still cry for vengeance . "	To us there is fiend in hell like Juan Murillo , and peace in life while his victims still cry for vengeance . "	2	2	contradiction	b: cue-removed
1220	To us there is no fiend in hell like Juan Murillo , and no peace in life while his victims still cry for vengeance . "	there is peace in life while his victims still cry for vengeance	2	2	contradiction	a: within scope.
1224	But the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would not let the matter rest .	the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would let the matter rest	2	2	contradiction	a: within scope.
1232	But the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would not let the matter rest .	But the many whose lives he had ruined , whose nearest and dearest had suffered torture and death at his hands , would let the matter rest .	2	2	contradiction	b: cue-removed
1240	They banded themselves into a society which should never be dissolved until the work was done .	They banded themselves into a society which should be dissolved until the work was done .	2	2	contradiction	b: cue-removed
1244	He could do little during the day , for Murillo took every precaution and never went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	Murillo went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness	2	2	contradiction	a: within scope.
1256	He could do little during the day , for Murillo took every precaution and never went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness .	Murillo took every precaution and went out save with his satellite Lucas , or Lopez as he was known in the days of his greatness	2	2	contradiction	b: cue-removed
1260	How they murdered him I do not know , save that it was Murillo 's hand who struck him down , for Lopez had remained to guard me .	How they murdered him I do know save that it was Murillo 's hand who struck him down	2	2	contradiction	a: within scope.
1268	How they murdered him I do not know , save that it was Murillo 's hand who struck him down , for Lopez had remained to guard me .	How they murdered him I do know , save that it was Murillo 's hand who struck him down , for Lopez had remained to guard me .	2	2	contradiction	b: cue-removed
1284	I have no doubt that there were times when my life hung in the balance .	I have doubt that there were times when my life hung in the balance	2	2	contradiction	a: within scope.
1288	I have no doubt that there were times when my life hung in the balance .	I have doubt that there were times when my life hung in the balance .	2	2	contradiction	b: cue-removed
1320	I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should never had broken away .	I sprang out , they tried to drag me back , and had it not been for the help of this good man , who led me to the cab , I should had broken away .	2	2	contradiction	b: cue-removed
1324	" Our difficulties are not over , " he remarked , shaking his head .	Our difficulties are over	2	2	contradiction	a: within scope.
1328	" Our difficulties are not over , " he remarked , shaking his head .	` Our difficulties are over	2	2	contradiction	b: cue-removed
1340	" Our difficulties are not over , " he remarked , shaking his head .	` ` Our difficulties are over , " he remarked , shaking his head .	2	2	contradiction	b: cue-removed
1344	The crime was ascribed to Nihilism , and the murderers were never arrested .	the murderers were arrested	2	2	contradiction	a: within scope.
1348	The crime was ascribed to Nihilism , and the murderers were never arrested .	The crime was ascribed to Nihilism , and the murderers were arrested .	2	2	contradiction	b: cue-removed
1356	We could not doubt that justice , if belated , had come at last .	We could doubt that justice , if belated , had come at last	2	2	contradiction	a: within scope.
1360	We could not doubt that justice , if belated , had come at last .	We could doubt that justice , if belated , had come at last .	2	2	contradiction	b: cue-removed
1376	" It will not be possible for you to present in that compact form which is dear to your heart .	It will be possible for you to present in that compact form which is dear to your heart	2	2	contradiction	a: within scope.
1380	" It will not be possible for you to present in that compact form which is dear to your heart .	` ` It will be possible for you to present in that compact form which is dear to your heart .	2	2	contradiction	b: cue-removed
1392	" It will not be possible for you to present in that compact form which is dear to your heart .	you to present in that compact form which is dear to your heart	2	2	contradiction	a: within scope.
1398	Holmes was sitting with his back to me , and I had given him no sign of my occupation .	I had given him sign of my occupation	2	2	contradiction	a: within scope.
1399	Holmes was sitting with his back to me , and I had given him no sign of my occupation .	Holmes was sitting with his back to me , and I had given him sign of my occupation .	2	2	contradiction	b: cue-removed
1401	Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	we have notion of his errand	2	2	contradiction	a: within scope.
1403	Since we have been so unfortunate as to miss him and have no notion of his errand , this accidental souvenir becomes of importance .	we have been so unfortunate as to miss him and have tion of his errand	2	2	contradiction	b: cue-removed
1404	It may be that you are not yourself luminous , but you are a conductor of light .	you are yourself luminous	2	2	contradiction	a: within scope.
1406	It may be that you are not yourself luminous , but you are a conductor of light .	It may be that you are yourself luminous	2	2	contradiction	b: cue-removed
1408	He had never said as much before , and I must admit that his words gave me keen pleasure , for I had often been piqued by his indifference to my admiration and to the attempts which I had made to give publicity to his methods .	He had said as much before	2	2	contradiction	a: within scope.
1414	Not that you are entirely wrong in this instance .	you are entirely wrong in this instance	2	2	contradiction	a: within scope.
1415	" Now , you will observe that he could not have been on the staff of the hospital , since only a man well-established in a London practice could hold such a position , and such a one would not drift into the country .	he could have been on the staff of the hospital	2	2	contradiction	a: within scope.
1416	" Now , you will observe that he could not have been on the staff of the hospital , since only a man well-established in a London practice could hold such a position , and such a one would not drift into the country .	` ` Now , you will observe that he could have been on the staff of the hospital , since only a man well established in a London practice could hold such a position , and such a one would drift into the country .	2	2	contradiction	b: cue-removed
1419	" Now , you will observe that he could not have been on the staff of the hospital , since only a man well-established in a London practice could hold such a position , and such a one would not drift into the country .	such a one would drift into the country	2	2	contradiction	a: within scope.
1420	If he was in the hospital and yet not on the staff he could only have been a house-surgeon or a house-physicianlittle more than a senior student .	he was on the staff	2	2	contradiction	a: within scope.
1422	If he was in the hospital and yet not on the staff he could only have been a house-surgeon or a house-physicianlittle more than a senior student .	he was in the hospital and yet on the staff	2	2	contradiction	b: cue-removed
1424	" As to the latter part , I have no means of checking you , " said I , " but at least it is not difficult to find out a few particulars about the man 's age and professional career . "	I have means of checking you	2	2	contradiction	a: within scope.
1427	" As to the latter part , I have no means of checking you , " said I , " but at least it is not difficult to find out a few particulars about the man 's age and professional career . "	it is difficult to find out a few particulars about the man 's age and professional career	2	2	contradiction	a: within scope.
1428	" As to the latter part , I have no means of checking you , " said I , " but at least it is not difficult to find out a few particulars about the man 's age and professional career . "	` ` As to the latter part , I have no means of checking you , " said I , ` ` but at least it is difficult to find out a few particulars about the man 's age and professional career . "	2	2	contradiction	b: cue-removed
1429	" As to the latter part , I have no means of checking you , " said I , " but at least it is not difficult to find out a few particulars about the man 's age and professional career . "	at least it is difficult to find out a few particulars about the man 's age and professional career	2	2	contradiction	b: cue-removed
1433	The dog 's jaw , as shown in the space between these marks , is too broad in my opinion for a terrier and not broad enough for a mastiff .	The dog 's jaw is broad enough for a mastiff	2	2	contradiction	a: within scope.
1434	The dog 's jaw , as shown in the space between these marks , is too broad in my opinion for a terrier and not broad enough for a mastiff .	The dog 's jaw , as shown in the space between these marks , is too broad in my opinion for a terrier and broad enough for a mastiff .	2	2	contradiction	b: cue-removed
1435	Now is the dramatic moment of fate , Watson , when you hear a step upon the stair which is walking into your life , and you know not whether for good or ill .	you know whether for good or ill	2	2	contradiction	a: within scope.
1437	" I was not sure whether I had left it here or in the Shipping Office .	I was sure whether I had left it here or in the Shipping Office	2	2	contradiction	a: within scope.
1439	" I was not sure whether I had left it here or in the Shipping Office .	` ` I was sure whether I had left it here or in the Shipping Office .	2	2	contradiction	b: cue-removed
1442	I would not lose that stick for the world . "	I would lose that stick for the world	2	2	contradiction	a: within scope.
1444	I would not lose that stick for the world . "	I would lose that stick for the world . "	2	2	contradiction	b: cue-removed
1446	" Come , come , we are not so far wrong , after all , " said Holmes .	we are so far wrong	2	2	contradiction	a: within scope.
1448	It is not my intention to be fulsome , but I confess that I covet your skull . "	It is my intention to be fulsome	2	2	contradiction	a: within scope.
1449	It is not my intention to be fulsome , but I confess that I covet your skull . "	It is my intention to be fulsome , but I confess that I covet your skull . "	2	2	contradiction	b: cue-removed
1455	I trust , sir , that I have not inadvertently"	I have inadvertently	2	2	contradiction	a: within scope.
1456	I trust , sir , that I have not inadvertently"	I trust , sir , that I have inadvertently"	2	2	contradiction	b: cue-removed
1457	It would be a poor expert who could not give the date of a document within a decade or so .	It would be a poor expert who could give the date of a document within a decade or so .	2	2	contradiction	b: cue-removed
1458	And I would have you believe , my sons , that the same Justice which punishes sin may also most graciously forgive it , and that no ban is so heavy but that by prayer and repentance it may be removed .	ban is so heavy	2	2	contradiction	a: within scope.
1465	" Know then that in the time of the Great Rebellion ( the history of which by the learned Lord Clarendon I most earnestly commend to your attention ) this Manor of Baskerville was held by Hugo of that name , nor can it be gainsaid that he was a most wild , profane , and godless man .	` ` Know then that in the time of the Great Rebellion the history of which by the learned Lord Clarendon I most earnestly commend to your attention this Maof Baskerville was held by Hugo of that name , can it be gainsaid that he was a most wild , profane , and godless man .	2	2	contradiction	b: cue-removed
1466	This , in truth , his neighbours might have pardoned , seeing that saints have never flourished in those parts , but there was in him a certain wanton and cruel humour which made his name a by-word through the West .	saints have flourished in those parts	2	2	contradiction	a: within scope.
1468	This , in truth , his neighbours might have pardoned , seeing that saints have never flourished in those parts , but there was in him a certain wanton and cruel humour which made his name a by-word through the West .	This , in truth , his neighbours might have pardoned , seeing that saints have flourished in those parts	2	2	contradiction	b: cue-removed
1477	Yet may we shelter ourselves in the infinite goodness of Providence , which would not forever punish the innocent beyond that third or fourth generation which is threatened in Holy Writ .	Yet may we shelter ourselves in the infinite goodness of Providence , which would forever punish the innocent beyond that third or fourth generation which is threatened in Holy Writ .	2	2	contradiction	b: cue-removed
1478	" Do you not find it interesting ? "	it interesting	2	2	contradiction	a: within scope.
1479	" The circumstances connected with the death of Sir Charles can not be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise .	The circumstances connected with the death of Sir Charles can be said to have been entirely cleared up by the inquest	2	2	contradiction	a: within scope.
1481	" The circumstances connected with the death of Sir Charles can not be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise .	` The circumstances connected with the death of Sir Charles can be said to have been entirely cleared up by the inquest	2	2	contradiction	b: cue-removed
1483	" The circumstances connected with the death of Sir Charles can not be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise .	` ` The circumstances connected with the death of Sir Charles can be said to have been entirely cleared up by the inquest , but at least enough has been done to dispose of those rumours to which local superstition has given rise .	2	2	contradiction	b: cue-removed
1486	There is no reason whatever to suspect foul play , or to imagine that death could be from any but natural causes .	There is reason whatever to suspect foul play , or to imagine that death could be from some but natural causes	2	2	contradiction	a: within scope.
1488	There is no reason whatever to suspect foul play , or to imagine that death could be from any but natural causes .	There is reason whatever to suspect foul play , or to imagine that death could be from some but natural causes .	2	2	contradiction	b: cue-removed
1491	He never returned .	He returned	2	2	contradiction	a: within scope.
1493	He never returned .	He returned .	2	2	contradiction	b: cue-removed
1495	One fact which has not been explained is the statement of Barrymore that his master 's footprints altered their character from the time that he passed the moor-gate , and that he appeared from thence onward to have been walking upon his toes .	has been explained	2	2	contradiction	a: within scope.
1496	One fact which has not been explained is the statement of Barrymore that his master 's footprints altered their character from the time that he passed the moor-gate , and that he appeared from thence onward to have been walking upon his toes .	One fact which has been explained is the statement of Barrymore that his master 's footprints altered their character from the time that he passed the moor gate , and that he appeared from thence onward to have been walking upon his toes .	2	2	contradiction	b: cue-removed
1500	One Murphy , a gipsy horse-dealer , was on the moor at no great distance at the time , but he appears by his own confession to have been the worse for drink .	One Murphy , a gipsy horse dealer , was on the moor at great distance at the time	2	2	contradiction	b: cue-removed
1502	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	signs of violence were to be discovered upon Sir Charles 's person	2	2	contradiction	a: within scope.
1512	No signs of violence were to be discovered upon Sir Charles 's person , and though the doctor 's evidence pointed to an almost incredible facial distortionso great that Dr. Mortimer refused at first to believe that it was indeed his friend and patient who lay before himit was explained that that is a symptom which is not unusual in cases of dyspnoea and death from cardiac exhaustion .	that is a symptom which is unusual in cases of dyspnoea and death from cardiac exhaustion	2	2	contradiction	b: cue-removed
1515	" In doing so , " said Dr. Mortimer , who had begun to show signs of some strong emotion , " I am telling that which I have not confided to anyone .	I have confided to anyone	2	2	contradiction	a: within scope.
1516	" In doing so , " said Dr. Mortimer , who had begun to show signs of some strong emotion , " I am telling that which I have not confided to anyone .	I am telling that which I have confided to anyone	2	2	contradiction	b: cue-removed
1518	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	practical good could result from it	2	2	contradiction	a: within scope.
1520	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	I was justified in telling rather less than I knew , since practical good could result from it	2	2	contradiction	b: cue-removed
1524	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	there is reason why I should not be perfectly frank	2	2	contradiction	a: within scope.
1527	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	with you there is reason why I should t be perfectly frank	2	2	contradiction	b: cue-removed
1528	For both these reasons I thought that I was justified in telling rather less than I knew , since no practical good could result from it , but with you there is no reason why I should not be perfectly frank .	I should be perfectly frank	2	2	contradiction	a: within scope.
1531	With the exception of Mr. Frankland , of Lafter Hall , and Mr. Stapleton , the naturalist , there are no other men of education within many miles .	With the exception of Mr. Frankland , of Lafter Hall , and Mr. Stapleton , the naturalist , there are other men of education within many miles	2	2	contradiction	a: within scope.
1533	With the exception of Mr. Frankland , of Lafter Hall , and Mr. Stapleton , the naturalist , there are no other men of education within many miles .	With the exception of Mr. Frankland , of Lafter Hall , and Mr. Stapleton , the naturalist , there are other men of education within many miles .	2	2	contradiction	b: cue-removed
1535	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	the records which he was able to give of his ancestors were encouraging	2	2	contradiction	a: within scope.
1537	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were encouraging .	2	2	contradiction	b: cue-removed
1539	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were encouraging	2	2	contradiction	b: cue-removed
1541	Incredible as it may appear to you , Mr. Holmes , he was honestly convinced that a dreadful fate overhung his family , and certainly the records which he was able to give of his ancestors were not encouraging .	certainly the records which he was able to give of his ancestors were encouraging	2	2	contradiction	b: cue-removed
1542	I mention this small episode because it assumes some importance in view of the tragedy which followed , but I was convinced at the time that the matter was entirely trivial and that his excitement had no justification .	his excitement had justification	2	2	contradiction	a: within scope.
1548	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	there were other footsteps save those of Barrymore on the soft gravel	2	2	contradiction	a: within scope.
1554	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	I ted that there were other footsteps save those of Barrymore on the soft gravel	2	2	contradiction	b: cue-removed
1560	I followed the footsteps down the yew alley , I saw the spot at the moor-gate where he seemed to have waited , I remarked the change in the shape of the prints after that point , I noted that there were no other footsteps save those of Barrymore on the soft gravel , and finally I carefully examined the body , which had not been touched until my arrival .	finally I carefully examined the body , which had been touched until my arrival	2	2	contradiction	b: cue-removed
1561	There was certainly no physical injury of any kind .	There was physical injury of some kind	2	2	contradiction	a: within scope.
1562	There was certainly no physical injury of any kind .	There was certainly physical injury of some kind .	2	2	contradiction	b: cue-removed
1563	He said that there were no traces upon the ground round the body .	there were traces upon the ground round the body	2	2	contradiction	a: within scope.
1564	He said that there were no traces upon the ground round the body .	He said that there were traces upon the ground round the body .	2	2	contradiction	b: cue-removed
1565	He did not observe any .	He did observe some	2	2	contradiction	a: within scope.
1567	He did not observe any .	He did observe some .	2	2	contradiction	b: cue-removed
1569	" How was it that no one else saw it ? "	one else saw it	2	2	contradiction	a: within scope.
1570	" The marks were some twenty yards from the body and no one gave them a thought .	one gave them a thought	2	2	contradiction	a: within scope.
1571	" The marks were some twenty yards from the body and no one gave them a thought .	` ` The marks were some twenty yards from the body and one gave them a thought .	2	2	contradiction	b: cue-removed
1573	I do not suppose I should have done so had I not known this legend . "	I do suppose I should have done so had I known this legend . "	2	2	contradiction	b: cue-removed
1575	I do not suppose I should have done so had I not known this legend . "	I do suppose I should have done so had I known this legend	2	2	contradiction	b: cue-removed
1577	I do not suppose I should have done so had I not known this legend . "	I should have done so had I known this legend	2	2	contradiction	b: cue-removed
1578	I do not suppose I should have done so had I not known this legend . "	I should have done so had I not known this legend	2	2	contradiction	a: within scope.
1582	" But it had not approached the body ? "	it had approached the body	2	2	contradiction	a: within scope.
1583	" But it had not approached the body ? "	` ` But it had approached the body ? "	2	2	contradiction	b: cue-removed
1584	" Now , tell me , Dr. Mortimerand this is importantthe marks which you saw were on the path and not on the grass ? "	the marks were on the grass	2	2	contradiction	a: within scope.
1588	" No marks could show on the grass . "	marks could show on the grass	2	2	contradiction	a: within scope.
1590	I could discern no others . "	I could discern others	2	2	contradiction	a: within scope.
1592	I could discern no others . "	I could discern others . "	2	2	contradiction	b: cue-removed
1594	Oh , Dr. Mortimer , Dr. Mortimer , to think that you should not have called me in !	you should have called me in	2	2	contradiction	a: within scope.
1595	" I could not call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for not wishing to do so .	I could call you in without disclosing these facts to the world	2	2	contradiction	a: within scope.
1596	" I could not call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for not wishing to do so .	` ` I could call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for wishing to do so .	2	2	contradiction	b: cue-removed
1597	" I could not call you in , Mr. Holmes , without disclosing these facts to the world , and I have already given my reasons for not wishing to do so .	I could call you in , Mr. Holmes , without disclosing these facts to the world	2	2	contradiction	b: cue-removed
1601	" I did not positively say so . "	I did positively say so	2	2	contradiction	a: within scope.
1603	" I did not positively say so . "	` ` I did positively say so . "	2	2	contradiction	b: cue-removed
1608	" I do not know what to believe . "	I do know what to believe	2	2	contradiction	a: within scope.
1610	" I do not know what to believe . "	` ` I do know what to believe . "	2	2	contradiction	b: cue-removed
1612	" I did not say that I desired you to do it . "	I did say that I desired you to do it	2	2	contradiction	a: within scope.
1614	" I did not say that I desired you to do it . "	` ` I did say that I desired you to do it . "	2	2	contradiction	b: cue-removed
1616	" I did not say that I desired you to do it . "	I desired you to do it	2	2	contradiction	a: within scope.
1618	I speak now not as a medical man but as a trustee and executor of Sir Charles 's will . "	I speak now as a medical man	2	2	contradiction	a: within scope.
1620	" There is no other claimant , I presume ? "	There is other claimant	2	2	contradiction	a: within scope.
1621	" There is no other claimant , I presume ? "	` ` There is other claimant , I presume ? "	2	2	contradiction	b: cue-removed
1622	And yet it can not be denied that the prosperity of the whole poor , bleak countryside depends upon his presence .	it can be denied that the prosperity of the whole poor , bleak countryside depends upon his presence	2	2	contradiction	a: within scope.
1624	And yet it can not be denied that the prosperity of the whole poor , bleak countryside depends upon his presence .	And yet it can be denied that the prosperity of the whole poor , bleak countryside depends upon his presence .	2	2	contradiction	b: cue-removed
1625	All the good work which has been done by Sir Charles will crash to the ground if there is no tenant of the Hall .	there is tenant of the Hall	2	2	contradiction	a: within scope.
1627	" I have not heard of any . "	I have heard of some	2	2	contradiction	a: within scope.
1629	" I have not heard of any . "	` ` I have heard of some . "	2	2	contradiction	b: cue-removed
1631	It would be as well if you could make it convenient not to return before evening .	It would be as well if you could make it convenient to return before evening .	2	2	contradiction	b: cue-removed
1632	It would be as well if you could make it convenient not to return before evening .	you could make it convenient to return before evening	2	2	contradiction	b: cue-removed
1633	It would be as well if you could make it convenient not to return before evening .	it convenient to return before evening	2	2	contradiction	b: cue-removed
1634	I therefore spent the day at my club and did not return to Baker Street until evening .	I did return to Baker Street until evening	2	2	contradiction	a: within scope.
1635	I therefore spent the day at my club and did not return to Baker Street until evening .	I therefore spent the day at my club and did return to Baker Street until evening .	2	2	contradiction	b: cue-removed
1636	He is not a man with intimate friends .	He is a man with intimate friends	2	2	contradiction	a: within scope.
1638	He is not a man with intimate friends .	He is a man with intimate friends .	2	2	contradiction	b: cue-removed
1640	I fancy the yew alley , though not marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it .	I fancy the yew alley , though marked under that name , must stretch along this line , with the moor , as you perceive , upon the right of it .	2	2	contradiction	b: cue-removed
1645	I have not pushed it to the length of getting into a box to think , but that is the logical outcome of my convictions .	I have pushed it to the length of getting into a box to think	2	2	contradiction	a: within scope.
1646	I have not pushed it to the length of getting into a box to think , but that is the logical outcome of my convictions .	I have pushed it to the length of getting into a box to think , but that is the logical outcome of my convictions .	2	2	contradiction	b: cue-removed
1648	" Why , yes , " said he , " and the strange thing is , Mr. Sherlock Holmes , that if my friend here had not proposed coming round to you this morning I should have come on my own account .	my friend here had proposed coming round to you this morning	2	2	contradiction	a: within scope.
1650	" Why , yes , " said he , " and the strange thing is , Mr. Sherlock Holmes , that if my friend here had not proposed coming round to you this morning I should have come on my own account .	if my friend here had proposed coming round to you this morning I should have come on my own account	2	2	contradiction	b: cue-removed
1651	" No one could have known .	one could have known	2	2	contradiction	a: within scope.
1653	" There was no possible indication that we intended to go to this hotel . "	There was possible indication that we intended to go to this hotel	2	2	contradiction	a: within scope.
1655	" There was no possible indication that we intended to go to this hotel . "	` ` There was possible indication that we intended to go to this hotel . "	2	2	contradiction	b: cue-removed
1657	" There was no possible indication that we intended to go to this hotel . "	we intended to go to this hotel	2	2	contradiction	a: within scope.
1658	" I do not know much about the tariff and things of that kind , " said he , " but it seems to me we 've got a bit off the trail so far as that note is concerned . "	I do know much about the tariff and things of that kind	2	2	contradiction	a: within scope.
1660	" I do not know much about the tariff and things of that kind , " said he , " but it seems to me we 've got a bit off the trail so far as that note is concerned . "	` I do know much about the tariff and things of that kind	2	2	contradiction	b: cue-removed
1662	" I do not know much about the tariff and things of that kind , " said he , " but it seems to me we 've got a bit off the trail so far as that note is concerned . "	` ` I do know much about the tariff and things of that kind , " said he , ` ` but it seems to me we ' ve got a bit off the trail so far as that e is concerned . "	2	2	contradiction	b: cue-removed
